pratique,sous_pratique,annee,nombre_plaintes
Infration pénale hors DGCCRF,Autre infraction pénale,2015,554.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2014,85.0
Litiges et manquements,Livraison du bien,2012,843.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2013,275.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2009,239.0
Protection du consommateur,Règles de loyauté,2015,2990.0
Litiges et manquements,Remboursement,2013,1709.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2009,19401.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2015,628.0
Litiges et manquements,Contestation sur le contrat,2011,805.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2017,219.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2017,362.0
Vie courante,Evocation à tort d'une règle ou d'un droit,2013,382.0
Litiges et manquements,Paiement,2011,9062.0
Litiges et manquements,Paiement,2018,4010.0
Litiges et manquements,Information du consommateur,2012,4192.0
Infration pénale hors DGCCRF,Escroquerie,2016,2507.0
Vie courante,Divers,2016,1563.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2016,144.0
Protection du consommateur,Règles de loyauté,2016,2664.0
Vie courante,Evocation à tort d'une règle ou d'un droit,2018,386.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2013,164.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2011,194.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2012,15.0
Litiges et manquements,Information du consommateur,2015,3067.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2009,187.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2010,240.0
Litiges et manquements,Execution de la prestation,2018,5223.0
Protection du consommateur,Règles particulières à certains contrats,2013,8934.0
Infration pénale hors DGCCRF,Escroquerie,2013,816.0
Vie courante,Protection des données et de la vie privée,2015,159.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2009,51.0
Litiges et manquements,Recours,2018,1625.0
Litiges et manquements,Résiliation et reconduction de contrat,2012,5442.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2011,569.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2014,2221.0
Litiges et manquements,Contestation sur le contrat,2016,1793.0
Litiges et manquements,Résiliation et reconduction de contrat,2017,2726.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2012,111.0
Protection du consommateur,Règles de loyauté,2010,4227.0
Vie courante,DGCCRF pratique,2015,101.0
Protection du consommateur,Signes de qualité,2013,43.0
Protection du consommateur,Règles de loyauté,2012,5703.0
Litiges et manquements,Résiliation et reconduction de contrat,2013,3455.0
